date,volume_google,score_twitter,volume_twitter
1439686800,48,0,0
1439690400,50,0,0
1439694000,47,-0.157861555071088,2
1439697600,46,-0.2287,2
1439701200,43,-0.4939,1
1439704800,44,0,0
1439708400,45,0.013982134266691,1
1439712000,44,0.204058341389816,1
1439715600,47,0.2732,1
1439719200,41,0,0
1439722800,40,0,0
1439726400,46,0.1531,1
1439730000,43,0.4404,1
1439733600,44,0.202114045705539,2
1439737200,47,-0.142794790801418,8
1439740800,45,0.239498298798466,8
1439744400,48,0.146670629739085,7
1439748000,49,0.089088010847835,4
1439751600,54,0.5474625,5
1439755200,63,-0.078988698688852,4
1439758800,60,-0.369666666666667,4
1439762400,53,-0.136746359535356,7
1439766000,62,-0.068738992867994,6
1439769600,51,0,0
1439773200,51,0.100314813894662,1
1439776800,51,0.200002469962248,9
1439780400,49,-0.287563748402769,2
1439784000,45,-0.3162,2
1439787600,45,0.600401338484737,3
1439791200,42,0.3612,1
1439794800,42,0.098995384129762,3
1439798400,45,0,0
1439802000,46,0.064130362704776,1
1439805600,41,0,0
1439809200,44,0.082368880260069,3
1439812800,42,0.369680018639408,2
1439816400,44,0,0
1439820000,44,-0.2154,2
1439823600,46,-0.031823226690842,8
1439827200,46,0.252226980341929,3
1439830800,49,0.287454019663152,7
1439834400,48,0.016368529758757,3
1439838000,51,0.422947309403032,2
1439841600,54,0.142266666666667,8
1439845200,65,0.5867,2
1439848800,53,0.031231247104638,1
1439852400,50,0.2772,2
1439856000,56,0.12025,2
1439859600,51,0.328113000844243,3
1439863200,49,0.266994783218844,2
1439866800,48,0.279883475451834,3
1439870400,46,0.12995,2
1439874000,45,-0.34405,2
1439877600,44,0.3527,1
1439881200,41,0.20772287591189,1
1439884800,43,0.154346448778546,2
1439888400,43,0.4696,1
1439892000,45,0,0
1439895600,43,0,0
1439899200,50,0.250566666666667,4
1439902800,55,0.073735486475252,3
1439906400,55,0.530239934835671,4
1439910000,58,-0.007633333333333,3
1439913600,54,0.13215313855528,17
1439917200,56,-0.295703911521339,4
1439920800,59,0.21408641461586,3
1439924400,63,0.19128374230303,6
1439928000,82,0.1625,2
1439931600,71,0.090821662560944,2
1439935200,93,0,0
1439938800,100,-0.2031,2
1439942400,83,0.152022446050087,2
1439946000,77,0.000581222973252,11
1439949600,79,0.5532,1
1439953200,72,-0.4354,4
1439956800,72,0.173496244702325,2
1439960400,62,0,0
1439964000,62,0,0
1439967600,61,0.7506,1
1439971200,56,0.216034179399071,1
1439974800,64,0,0
1439978400,57,0.148110606690754,1
1439982000,59,0,0
1439985600,59,0.053169286091236,1
1439989200,63,-0.302033333333333,3
1439992800,62,0.430165300424857,3
1439996400,66,0.12765,4
1440000000,69,0.048141902891167,5
1440003600,74,-0.238214165882058,4
1440007200,70,0.332263329139538,4
1440010800,76,0.147563920650622,10
1440014400,90,0.133870562445919,9
1440018000,90,0.26964761662397,2
1440021600,79,-0.5106,1
1440025200,70,0.116943684561786,11
1440028800,70,0.142329282390355,4
1440032400,67,-0.6808,1
1440036000,64,0.44231235525213,8
1440039600,61,-0.07856152745361,2
1440043200,63,0.488816666666667,4
1440046800,61,0.59715,2
1440050400,59,-0.025785560055845,3
1440054000,56,0.035795919792294,6
1440057600,54,-0.1039,2
1440061200,55,0.094860445192988,5
1440064800,53,0.147718248813621,5
1440068400,54,0,0
1440072000,52,-0.102358816663404,2
1440075600,55,0.274132686568487,1
1440079200,54,0.1127,3
1440082800,56,-0.007558224710658,4
1440086400,56,-0.068395959491341,7
1440090000,56,0.146121265667241,4
1440093600,71,0.305012590081871,6
1440097200,60,-0.036826260494866,6
1440100800,62,0.10683192496179,6
1440104400,72,0.0817,2
1440108000,64,0.060959593016371,1
1440111600,73,0.060420218299504,2
1440115200,59,-0.0516,1
1440118800,56,0.3182,1
1440122400,52,0.013978210727461,1
1440126000,52,0,0
1440129600,54,0.259466524438627,2
1440133200,56,0,0
1440136800,56,0,0
1440140400,53,0.051005620808039,1
1440144000,49,0.4404,1
1440147600,50,0,0
1440151200,49,0,0
1440154800,52,0,0
1440158400,53,0,0
1440162000,51,0,0
1440165600,52,0.193421340564647,1
1440169200,52,0.080157749626154,6
1440172800,53,0.3151175871898,8
1440176400,56,0.103290473486688,3
1440180000,58,0.109436534419097,5
1440183600,59,0.192876250471812,5
1440187200,72,0.247882634319145,9
1440190800,64,0.160084919008246,9
1440194400,67,0.275735635389432,8
1440198000,62,0.159132849110265,8
1440201600,52,0.157986027856466,2
1440205200,57,0.057501188772577,3
1440208800,69,0.007237101795253,3
1440212400,68,0.103580999428491,4
1440216000,56,0.284520946020381,1
1440219600,59,0,0
1440223200,59,-0.0094,1
1440226800,57,0,0
1440230400,54,0.104138109066088,4
1440234000,52,0,0
1440237600,52,0,0
1440241200,56,0,0
1440244800,56,0,0
1440248400,55,0.414925,3
1440252000,53,0.343875,4
1440255600,55,0,0
1440259200,60,-0.163433333333333,4
1440262800,56,0.402980038259836,2
1440266400,60,0.331623241707285,11
1440270000,57,0.045655942731609,6
1440273600,62,0.3612,1
1440277200,75,0.29675,2
1440280800,67,0.34,1
1440284400,76,-0.0258,1
1440288000,67,0.109101298981081,1
1440291600,68,0.4215,1
1440295200,60,-0.4854,1
1440298800,74,0.267941719630492,6
1440302400,72,0,0
1440306000,57,0,0
1440309600,64,0.540525837138838,2
1440313200,62,0.8408,1
1440316800,63,-0.6249,1
1440320400,63,0,0
1440324000,58,0.086596844832177,1
1440327600,56,0,0
1440331200,57,0.002033931712673,1
1440334800,59,0.009542152390029,2
1440338400,56,0,0
1440342000,62,0.4019,1
1440345600,61,0.021948371011503,6
1440349200,60,0.196861963461209,10
1440352800,60,-0.164292792480549,3
1440356400,62,-0.188026980566284,4
1440360000,62,0.475422410988898,3
1440363600,79,-0.001933333333333,4
1440367200,75,0.498933333333333,4
1440370800,77,0,0
1440374400,66,-0.134291847734017,2
1440378000,74,0.51915,2
1440381600,74,-0.198610202913224,2
1440385200,75,0.2023,1
1440388800,71,0.280692513894977,1
1440392400,65,0,0
1440396000,67,0,0
1440399600,62,0.704,1
1440403200,64,0.14694124309719,2
1440406800,61,0.29499340590783,1
1440410400,65,0,0
1440414000,65,-0.357,1
1440417600,67,0.336991347907733,2
1440421200,76,0.261729648739044,10
1440424800,80,0.246870402985122,14
1440428400,79,0.181049013308945,5
1440432000,78,-0.068443132916226,9
1440435600,83,0.126267690402244,16
1440439200,81,-0.043125301231855,3
1440442800,85,0.190045852547731,8
1440446400,87,0.152998422649366,4
1440450000,91,0.252013048007973,5
1440453600,99,-0.3393,2
1440457200,96,0,0
1440460800,100,0.199865799713531,3
1440464400,98,-0.048332834323865,5
1440468000,88,-0.084555666987344,7
1440471600,90,0.450695193059214,2
1440475200,83,0.066527409670544,7
1440478800,84,0.239301599995821,2
