date,ethereum
2016-11-02 02:00:00,1390
2016-11-03 02:00:00,1519
2016-11-04 02:00:00,1435
2016-11-05 02:00:00,1179
2016-11-06 02:00:00,1228
2016-11-07 02:00:00,1659
2016-11-08 02:00:00,1578
2016-11-09 02:00:00,1319
2016-11-10 02:00:00,1319
2016-11-11 02:00:00,1220
2016-11-12 02:00:00,973
2016-11-13 02:00:00,977
2016-11-14 02:00:00,1365
2016-11-15 02:00:00,1551
2016-11-16 02:00:00,1412
2016-11-17 02:00:00,1495
2016-11-18 02:00:00,1285
2016-11-19 02:00:00,847
2016-11-20 02:00:00,955
2016-11-21 02:00:00,1552
2016-11-22 02:00:00,1643
2016-11-23 02:00:00,1404
2016-11-24 02:00:00,1309
2016-11-25 02:00:00,1086
2016-11-26 02:00:00,802
2016-11-27 02:00:00,911
2016-11-28 02:00:00,1396
2016-11-29 02:00:00,1357
2016-11-30 02:00:00,1268
2016-12-01 02:00:00,1271
2016-12-02 02:00:00,1173
2016-12-03 02:00:00,862
2016-12-04 02:00:00,904
2016-12-05 02:00:00,1237
2016-12-06 02:00:00,1194
2016-12-07 02:00:00,1208
2016-12-08 02:00:00,1248
2016-12-09 02:00:00,1187
2016-12-10 02:00:00,865
2016-12-11 02:00:00,1002
2016-12-12 02:00:00,1411
2016-12-13 02:00:00,1530
2016-12-14 02:00:00,1471
2016-12-15 02:00:00,1316
2016-12-16 02:00:00,1173
2016-12-17 02:00:00,940
2016-12-18 02:00:00,904
2016-12-19 02:00:00,1174
2016-12-20 02:00:00,1180
2016-12-21 02:00:00,1134
2016-12-22 02:00:00,1208
2016-12-23 02:00:00,1203
2016-12-24 02:00:00,935
2016-12-25 02:00:00,944
2016-12-26 02:00:00,1151
2016-12-27 02:00:00,1354
2016-12-28 02:00:00,1453
2016-12-29 02:00:00,1576
2016-12-30 02:00:00,1408
2016-12-31 02:00:00,1049
2017-01-01 02:00:00,1127
2017-01-02 02:00:00,1935
2017-01-03 02:00:00,2330
2017-01-04 02:00:00,2524
2017-01-05 02:00:00,2593
2017-01-06 02:00:00,2092
2017-01-07 02:00:00,1835
2017-01-08 02:00:00,1726
2017-01-09 02:00:00,2091
2017-01-10 02:00:00,1895
2017-01-11 02:00:00,2051
2017-01-12 02:00:00,1918
2017-01-13 02:00:00,1584
2017-01-14 02:00:00,1344
2017-01-15 02:00:00,1333
2017-01-16 02:00:00,1559
2017-01-17 02:00:00,1764
2017-01-18 02:00:00,1711
2017-01-19 02:00:00,1612
2017-01-20 02:00:00,1312
2017-01-21 02:00:00,1092
2017-01-22 02:00:00,1148
2017-01-23 02:00:00,1678
2017-01-24 02:00:00,1672
2017-01-25 02:00:00,1535
2017-01-26 02:00:00,1428
2017-01-27 02:00:00,1368
2017-01-28 02:00:00,1109
2017-01-29 02:00:00,1188
2017-01-30 02:00:00,1501
2017-01-31 02:00:00,1506
2017-02-01 02:00:00,1651
2017-02-02 02:00:00,1563
2017-02-03 02:00:00,1476
2017-02-04 02:00:00,1196
2017-02-05 02:00:00,1149
2017-02-06 02:00:00,1668
2017-02-07 02:00:00,1806
2017-02-08 02:00:00,1785
2017-02-09 02:00:00,1615
2017-02-10 02:00:00,1815
2017-02-11 02:00:00,1325
2017-02-12 02:00:00,1656
2017-02-13 02:00:00,1856
2017-02-14 02:00:00,2017
2017-02-15 02:00:00,1922
2017-02-16 02:00:00,1744
2017-02-17 02:00:00,1865
2017-02-18 02:00:00,1397
2017-02-19 02:00:00,1349
2017-02-20 02:00:00,1736
2017-02-21 02:00:00,1689
2017-02-22 02:00:00,1830
2017-02-23 02:00:00,1847
2017-02-24 02:00:00,1925
2017-02-25 02:00:00,1430
2017-02-26 02:00:00,1714
2017-02-27 02:00:00,2384
2017-02-28 02:00:00,5040
2017-03-01 02:00:00,4175
2017-03-02 02:00:00,3830
2017-03-03 02:00:00,4303
2017-03-04 02:00:00,2774
2017-03-05 02:00:00,2766
2017-03-06 02:00:00,3197
2017-03-07 02:00:00,2915
2017-03-08 02:00:00,2648
2017-03-09 02:00:00,2376
2017-03-10 02:00:00,2258
2017-03-11 02:00:00,2591
2017-03-12 02:00:00,2782
2017-03-13 02:00:00,5117
2017-03-14 02:00:00,3943
2017-03-15 02:00:00,4015
2017-03-16 02:00:00,6143
2017-03-17 02:00:00,6110
2017-03-18 02:00:00,3661
2017-03-19 02:00:00,3543
2017-03-20 02:00:00,4459
2017-03-21 02:00:00,4402
2017-03-22 02:00:00,4547
2017-03-23 02:00:00,3854
2017-03-24 02:00:00,3734
2017-03-25 02:00:00,3225
2017-03-26 02:00:00,2907
2017-03-27 02:00:00,3909
2017-03-28 02:00:00,3876
2017-03-29 02:00:00,3854
2017-03-30 02:00:00,3506
2017-03-31 02:00:00,2994
2017-04-01 02:00:00,2281
2017-04-02 02:00:00,2282
2017-04-03 02:00:00,2941
2017-04-04 02:00:00,3009
2017-04-05 02:00:00,3426
2017-04-06 02:00:00,3475
2017-04-07 02:00:00,2322
2017-04-08 02:00:00,1763
2017-04-09 02:00:00,1924
2017-04-10 02:00:00,2657
2017-04-11 02:00:00,2454
2017-04-12 02:00:00,2757
2017-04-13 02:00:00,2786
2017-04-14 02:00:00,2135
2017-04-15 02:00:00,1703
2017-04-16 02:00:00,1922
2017-04-17 02:00:00,2340
2017-04-18 02:00:00,2832
2017-04-19 02:00:00,2651
2017-04-20 02:00:00,3030
2017-04-21 02:00:00,3466
2017-04-22 02:00:00,2123
2017-04-23 02:00:00,2125
2017-04-24 02:00:00,3573
2017-04-25 02:00:00,3480
2017-04-26 02:00:00,3686
2017-04-27 02:00:00,3566
2017-04-28 02:00:00,4526
2017-04-29 02:00:00,4036
2017-04-30 02:00:00,3947
2017-05-01 02:00:00,5616
2017-05-02 02:00:00,5316
2017-05-03 02:00:00,4817
2017-05-04 02:00:00,6461
2017-05-05 02:00:00,6316
2017-05-06 02:00:00,4339
2017-05-07 02:00:00,4490
2017-05-08 02:00:00,5487
2017-05-09 02:00:00,5672
2017-05-10 02:00:00,5626
2017-05-11 02:00:00,5274
2017-05-12 02:00:00,4852
2017-05-13 02:00:00,3819
2017-05-14 02:00:00,4047
2017-05-15 02:00:00,5449
2017-05-16 02:00:00,4993
2017-05-17 02:00:00,4493
2017-05-18 02:00:00,4349
2017-05-19 02:00:00,6810
2017-05-20 02:00:00,5843
2017-05-21 02:00:00,6952
2017-05-22 02:00:00,15908
2017-05-23 02:00:00,13826
2017-05-24 02:00:00,15612
2017-05-25 02:00:00,16775
2017-05-26 02:00:00,11013
2017-05-27 02:00:00,8131
2017-05-28 02:00:00,7604
2017-05-29 02:00:00,9069
2017-05-30 02:00:00,12001
2017-05-31 02:00:00,12821
2017-06-01 02:00:00,12052
2017-06-02 02:00:00,9567
2017-06-03 02:00:00,7733
2017-06-04 02:00:00,8534
2017-06-05 02:00:00,11441
2017-06-06 02:00:00,14210
2017-06-07 02:00:00,14441
2017-06-08 02:00:00,11193
2017-06-09 02:00:00,10408
2017-06-10 02:00:00,11875
2017-06-11 02:00:00,15676
2017-06-12 02:00:00,21580
2017-06-13 02:00:00,20800
2017-06-14 02:00:00,16697
2017-06-15 02:00:00,13068
2017-06-16 02:00:00,10859
2017-06-17 02:00:00,8752
2017-06-18 02:00:00,9426
2017-06-19 02:00:00,11816
2017-06-20 02:00:00,13426
2017-06-21 02:00:00,14208
2017-06-22 02:00:00,12626
2017-06-23 02:00:00,10490
2017-06-24 02:00:00,9018
2017-06-25 02:00:00,9095
2017-06-26 02:00:00,12468
2017-06-27 02:00:00,12809
2017-06-28 02:00:00,11551
2017-06-29 02:00:00,10121
2017-06-30 02:00:00,7735
2017-07-01 02:00:00,6173
2017-07-02 02:00:00,6313
2017-07-03 02:00:00,7893
2017-07-04 02:00:00,7104
2017-07-05 02:00:00,7401
2017-07-06 02:00:00,7633
2017-07-07 02:00:00,7482
2017-07-08 02:00:00,6651
2017-07-09 02:00:00,6377
2017-07-10 02:00:00,9410
2017-07-11 02:00:00,9175
2017-07-12 02:00:00,8243
2017-07-13 02:00:00,6853
2017-07-14 02:00:00,6140
2017-07-15 02:00:00,5121
2017-07-16 02:00:00,5711
2017-07-17 02:00:00,6847
2017-07-18 02:00:00,7268
2017-07-19 02:00:00,7224
2017-07-20 02:00:00,7625
2017-07-21 02:00:00,7726
2017-07-22 02:00:00,4819
2017-07-23 02:00:00,5654
2017-07-24 02:00:00,6962
2017-07-25 02:00:00,6311
2017-07-26 02:00:00,6845
2017-07-27 02:00:00,6351
2017-07-28 02:00:00,5750
2017-07-29 02:00:00,4732
2017-07-30 02:00:00,4777
2017-07-31 02:00:00,5834
2017-08-01 02:00:00,6126
2017-08-02 02:00:00,5723
2017-08-03 02:00:00,4931
2017-08-04 02:00:00,4655
2017-08-05 02:00:00,4018
2017-08-06 02:00:00,4288
2017-08-07 02:00:00,5673
2017-08-08 02:00:00,5993
2017-08-09 02:00:00,6157
2017-08-10 02:00:00,5968
