date,score_twitter,volume_gg,volume_twitter,volume_wiki
1469836800,0.088331494447057,276,48,1286
1469923200,0.009198602168788,211,35,1356
1470009600,0.121978016830462,189,34,1660
1470096000,0.090027297041424,123,38,1843
1470182400,0.146465384018314,126,48,2940
1470268800,-0.004321391025554,136,50,2182
1470355200,0.132885215060104,197,34,1718
1470441600,0.086478223663693,186,21,1192
1470528000,0.050767152704805,137,57,1429
1470614400,0.051017089511361,116,13,1853
1470700800,0.082560930626905,190,29,1619
1470787200,0.097345752193779,214,20,1458
1470873600,0.129595880792536,234,20,1399
1470960000,-0.005904399890985,242,23,1354
1471046400,0.15030816113332,228,20,942
1471132800,0.015154215125438,219,13,1006
1471219200,0.085738076098671,199,9,1485
1471305600,-0.035444913487743,181,17,1494
1471392000,0.121041193699693,181,26,1410
1471478400,0.022770608244368,195,33,1341
1471564800,0.068904035104757,186,29,1348
1471651200,0.036270924792224,181,11,1146
1471737600,0.081465673274684,188,16,1178
1471824000,0.030945019404516,166,13,1666
1471910400,0.118174813013861,156,13,1737
1471996800,0.055016978651756,155,11,1600
1472083200,0.036793683380136,178,14,1935
1472169600,0.033722474984014,197,6,1530
1472256000,0.04316580286311,185,6,1252
1472342400,0.054441380312579,209,17,1535
1472428800,0.062215457337989,201,9,1778
1472515200,0.077317128767651,157,40,1624
1472601600,0.098281305774122,153,20,1565
1472688000,0.080315432103,179,19,1427
1472774400,0.125053629620646,170,17,1430
1472860800,0.038009962802506,175,3,1096
1472947200,0.082146609664491,206,7,1104
1473033600,0.109370058545327,176,20,1266
1473120000,0.048538688250354,159,17,1637
1473206400,0.044878343532419,157,14,1508
1473292800,0.106052507339935,167,9,1343
1473379200,0.135897147617944,173,23,1254
1473465600,0.032372222931748,172,18,971
1473552000,0.000787441663561,167,10,1119
1473638400,0.024557217750459,161,13,1471
1473724800,0.074806687536138,144,14,1841
1473811200,0.050228587543774,151,8,1567
1473897600,0.064803767230819,162,15,1319
1473984000,0.092542759374794,173,13,1325
1474070400,0.054428924356842,159,17,1121
1474156800,0.034892134512633,160,12,1265
1474243200,0.061589995278,170,15,1482
1474329600,0.049632601655748,176,14,1633
1474416000,0.135223136143664,176,16,1743
1474502400,0.132796969638603,256,27,1515
1474588800,0.079538717238695,269,44,1502
1474675200,0.117645931366247,297,11,1314
1474761600,0.000706978071726,226,15,1544
1474848000,0.05063805451023,233,10,1690
1474934400,0.171444846257902,188,27,1728
1475020800,0.057587614326778,218,16,1637
1475107200,0.042446677784703,206,16,1554
1475193600,0.0244752019229,199,11,1314
1475280000,0.041252352293269,210,20,960
1475366400,-0.003551578642201,202,8,1153
1475452800,0.048716761218393,185,20,1397
1475539200,0.047357502526647,146,15,1741
1475625600,0.030943170942288,134,17,1647
1475712000,0.082539692054461,140,19,1554
1475798400,0.080578384815129,168,25,1403
1475884800,0.058678678210746,169,17,903
1475971200,0.096515906990987,167,16,1089
1476057600,0.039114583333333,158,7,1259
1476144000,-0.083614779534444,149,13,1510
1476230400,0.044969595107486,145,11,1671
1476316800,0.031881811045877,156,17,1618
1476403200,0.060195340388125,155,33,1508
1476489600,-0.007944589524089,165,21,1152
1476576000,0.114304719589645,166,15,1223
1476662400,0.008729166666667,167,8,1518
1476748800,0.097796631867269,182,9,1699
1476835200,0.016644644091409,171,12,1421
1476921600,-0.020007694453826,213,17,1329
1477008000,-0.028321776728716,228,10,1322
1477094400,0.101834004597644,244,8,900
1477180800,0.058357211955511,208,12,951
1477267200,0.040091519281478,185,5,1415
1477353600,0.067285034415305,131,6,1553
1477440000,0.088067539273525,72,20,1439
1477526400,0.033927673886678,75,15,1343
1477612800,0.069928361104073,93,16,1198
1477699200,0.083433066171634,93,17,951
1477785600,0.069824195368324,87,19,963
1477872000,0.145678169712622,81,11,1276
1477958400,0.045133029470197,90,14,1378
1478044800,-0.006283768887327,128,16,1390
1478131200,0.061544246146993,117,20,1519
1478217600,0.176110156968872,122,14,1435
1478304000,0.111835136440041,125,18,1179
1478390400,0.070139372346721,120,13,1228
1478476800,0.00806305993411,120,4,1659
1478563200,0.052164121102761,107,3,1578
1478649600,0.08918939011971,78,22,1319
1478736000,0.076030500085616,86,18,1319
1478822400,0.059020839817881,89,11,1220
1478908800,0.052170469970482,85,11,973
1478995200,0.129153425243212,84,17,977
1479081600,-0.039524309370504,83,5,1365
1479168000,0.033286544708741,91,8,1551
1479254400,0.060654042333118,131,8,1412
1479340800,0.047299497724023,123,9,1495
1479427200,0.041312790684747,134,26,1285
1479513600,0.077330451254512,142,18,847
1479600000,0.07149224448844,137,8,955
1479686400,0.096973782584202,142,8,1552
1479772800,0.041239865921796,145,8,1643
1479859200,0.088785786224428,123,31,1404
1479945600,0.029703542169212,133,13,1309
1480032000,0.09108827169062,158,51,1086
1480118400,0.160440978941506,175,52,802
1480204800,0.116864182946476,150,20,911
1480291200,0.076803018916152,165,24,1396
1480377600,0.008233653033236,127,20,1357
1480464000,0.099995978463356,112,24,1268
1480550400,0.105580285798023,137,28,1271
1480636800,0.142736011501181,146,18,1173
1480723200,0.053386747473452,162,11,862
1480809600,0.12627050796241,139,19,904
1480896000,0.055562117726749,132,15,1237
1480982400,0.050460778178962,148,19,1194
1481068800,0.06488851313977,105,27,1208
1481155200,0.133757635357944,117,22,1248
1481241600,0.049144513324393,167,21,1187
1481328000,0.207583587775553,166,18,865
1481414400,0.012501160861689,139,3,1002
1481500800,0.102756066162115,125,10,1411
1481587200,0.119249700148224,109,20,1530
1481673600,0.064144268804679,98,21,1471
1481760000,0.065806355578157,109,23,1316
1481846400,0.080007083322691,122,17,1173
1481932800,0.008332676713694,129,10,940
1482019200,0.123880302130901,124,6,904
1482105600,0.07433058370108,127,6,1174
1482192000,0.035015159679995,114,18,1180
1482278400,0.085739435087018,59,23,1134
1482364800,0.11892143728881,53,19,1208
1482451200,0.099079259653134,75,11,1203
1482537600,0.125721920919882,74,21,935
1482624000,0.152555368919559,75,13,944
1482710400,0.021123788030895,75,7,1151
1482796800,0.022364010242118,78,9,1354
1482883200,0.036863009981934,68,16,1453
1482969600,0.009543415869556,62,13,1576
1483056000,0.0863544624741,68,20,1408
1483142400,0.161996101222723,79,30,1049
1483228800,-0.000488066582743,86,22,1127
1483315200,0.107665797490261,100,11,1935
1483401600,0.103593669862163,87,12,2330
1483488000,0.076269606481236,37,31,2524
1483574400,0.119495439417029,36,16,2593
1483660800,0.207649886171775,54,27,2092
1483747200,0.231733904394251,69,28,1835
1483833600,0.130622947463792,94,18,1726
1483920000,0.043831324704968,89,5,2091
1484006400,0.049571950298588,67,13,1895
1484092800,0.15636988642353,65,19,2051
1484179200,0.080367363487509,62,11,1918
1484265600,0.074120376382327,73,9,1584
1484352000,0.068465517307135,66,14,1344
1484438400,0.06463774714504,71,13,1333
1484524800,0.067837238285865,64,17,1559
1484611200,0.113249818337052,52,14,1764
1484697600,0.073306476515529,86,26,1711
1484784000,0.200519827161773,93,17,1612
1484870400,0.047721460056309,100,12,1312
1484956800,0.005993331942634,108,28,1092
1485043200,0.062719084716731,106,20,1148
1485129600,-0.001632989930399,102,18,1678
1485216000,0.133479616041339,100,21,1672
1485302400,0.058020342587938,96,15,1535
1485388800,0.146858134285167,103,21,1428
1485475200,0.093888055306249,110,10,1368
1485561600,0.18513943925529,109,17,1109
1485648000,0.06106327367385,107,17,1188
1485734400,0.098532376488945,102,8,1501
1485820800,0.113706172558092,98,18,1506
1485907200,0.024147884538908,81,7,1651
1485993600,0.071447161390696,77,9,1563
1486080000,0.124899282930314,87,19,1476
1486166400,0.050788671538912,91,15,1196
1486252800,-0.007710895678481,90,19,1149
1486339200,-0.00809479539124,91,8,1668
1486425600,0.080485032723874,97,12,1806
1486512000,0.210835137006764,88,20,1785
1486598400,0.080428138601009,80,15,1615
1486684800,0.100323761228079,86,15,1815
1486771200,0.088101583103832,94,12,1325
1486857600,0.122895797197301,88,32,1656
1486944000,0.069901535453604,90,9,1856
1487030400,0.087025020074628,88,15,2017
1487116800,0.094342179726651,93,18,1922
1487203200,0.037623505481387,102,26,1744
1487289600,0.144162116249237,109,23,1865
1487376000,0.127586106800868,151,17,1397
1487462400,0.089738552080961,167,20,1349
1487548800,0.060870924500266,142,7,1736
1487635200,0.069637394258234,134,11,1689
1487721600,0.114617310078695,89,21,1830
1487808000,0.142270707357064,67,15,1847
1487894400,0.053368197070473,72,17,1925
1487980800,0.018803233109045,80,8,1430
1488067200,0.086594399103735,79,8,1714
1488153600,0.081741457942146,74,11,2384
1488240000,0.053069425015251,88,9,5040
1488326400,0.10602140705084,74,30,4175
1488412800,0.135837123696962,77,27,3830
1488499200,0.058547679840593,105,22,4303
1488585600,0.02913107287495,191,20,2774
1488672000,0.091533733017568,175,34,2766
1488758400,-0.021568568832833,190,13,3197
1488844800,0.103664117140915,251,15,2915
1488931200,0.088114426843252,114,14,2648
1489017600,0.095357471881872,52,17,2376
1489104000,0.093227597764848,50,35,2258
1489190400,0.117478163372135,55,16,2591
1489276800,0.053611328101817,49,10,2782
1489363200,0.168623961235448,50,11,5117
1489449600,0.136961815380676,48,43,3943
1489536000,0.157621117561403,88,35,4015
1489622400,0.07700958703805,147,32,6143
1489708800,0.128550597324402,242,50,6110
1489795200,0.150028995020884,268,29,3661
1489881600,0.099643650133121,200,34,3543
1489968000,0.120303308501107,413,27,4459
1490054400,0.089484345699131,509,35,4402
1490140800,0.185478058526354,374,22,4547
1490227200,0.067090636619245,334,24,3854
1490313600,0.100652414339617,303,22,3734
1490400000,0.086954518895008,305,17,3225
1490486400,0.14111107250806,284,24,2907
1490572800,0.044293667272014,258,17,3909
1490659200,0.053498245295688,247,8,3876
1490745600,0.051107528202747,355,31,3854
1490832000,0.135865776590385,306,28,3506
1490918400,0.076474056353147,297,12,2994
1491004800,0.057128396599257,300,15,2281
1491091200,0.053057813907732,304,16,2282
1491177600,0.034632954488358,298,9,2941
1491264000,0.108928912130395,269,33,3009
1491350400,0.078028005395018,249,28,3426
1491436800,0.143718027236147,238,38,3475
1491523200,0.136950992765237,295,38,2322
1491609600,0.061152518381822,308,20,1763
1491696000,0.076259078667427,282,20,1924
1491782400,0.046579366750213,255,16,2657
1491868800,0.001337597822321,247,23,2454
1491955200,0.125364269749832,218,28,2757
1492041600,0.057024362044088,212,18,2786
1492128000,0.05924964468193,235,15,2135
