timestamp,average_block_utilization,block_gas_limit,block_mining_reward,block_size,blocks_per_day,difficulty,distinct_miners,fee_mining_reward,hashrate,market_cap,mining_revenue,mining_reward,new_accounts,total_ether_supply,total_gas_usage,transactions_per_day,score_twitter,volume_gg,volume_twitter,volume_wiki
1456099200,3.45816583696377,3141619.15520282,2.55665625E+022,1090.28728199099,5103,13432192514112.7,91,3.25491110595498E+019,844642383439.517,434283011.925,177.620763489281,2.67903616110595E+022,938,5.54054734375E+024,554402169,18190,0.098320805152501,118,11,1596
1456185600,9.94537618481012,3142257.97927148,2.4900625E+022,1117.05795934796,4969,13783289136349.4,87,9.41643662476463E+019,849490910313.203,442187234.709375,176.229945571067,2.62641643662476E+022,978,5.56671734375E+024,1552859093,18482,0.050339639090175,120,16,1695
1456272000,5.65147874106159,3142877.72022271,2.5198125E+022,1108.82700338039,5029,13623613050148.1,85,5.2032071341042E+019,846587713729.692,483467529.297813,194.857057785186,2.6478907071341E+022,839,5.59314421875E+024,893246284,19540,0.071807723411082,142,14,1459
1456358400,3.52753742397148,3141608.24044462,2.569E+022,1113.97601404056,5128,13573332176210.3,82,3.16128430902596E+019,855874001111.038,460345653.719688,186.069797017779,2.68553628430903E+022,1039,5.61996796875E+024,568292172,19503,0.056854397285769,157,36,1619
1456444800,6.0548551834129,3141814.284273,2.53321875E+022,1288.87141444115,5055,14051770722453.7,85,5.08616404256414E+019,881651031092.84,468269373.563438,182.646746714698,2.67049241404256E+022,1386,5.64662203125E+024,961624302,21068,0.204941032985171,159,16,1968
1456531200,3.39840705369206,3141612.24799679,2.501109375E+022,1101.8922275641,4992,14565440700582.5,73,2.83747446946272E+019,896853524619.199,490178546.08625,184.534100785068,2.62282184946946E+022,833,5.672821875E+024,532969743,18981,0.04957266880769,187,4,1512
1456617600,3.31681685987092,3141605.96042951,2.519828125E+022,1091.18890435474,5029,14737608920585,89,2.93587208003082E+019,915812758039.597,505110023.640625,187.739287644613,2.64513899708003E+022,1375,5.69924390625E+024,524028419,19063,0.086450276726828,176,10,1299
1456704000,3.85083314618303,3141753.51390042,2.414765625E+022,1175.3846473029,4820,14936074066210.4,95,3.29441902138078E+019,885965041543.154,493613846.003125,181.064389138817,2.52624754402138E+022,1868,5.7244734375E+024,583141365,20358,0.034968195319852,168,5,1435
1456790400,3.70981625304851,3142130.77830562,2.531171875E+022,1156.51128266033,5052,14454511671234.8,100,3.39508403305522E+019,900562920442.789,590205572.787188,223.470435959831,2.65150445903305E+022,1861,5.75095453125E+024,588897890,21778,0.032940269910869,173,10,1686
1456876800,3.81751375996374,3142156.32068423,2.548109375E+022,1198.61167911915,5086,14990055532727.7,96,3.90787626378783E+019,939133918965.913,676752026.475,247.190186268179,2.66832975126379E+022,2201,5.77759875E+024,610077143,23562,0.069933284441597,173,9,2139
1456963200,4.10851124269944,3227264.88631831,2.5115E+022,1248.4457518947,5014,15599466991185.1,98,3.53327310900656E+019,957272847074.808,727558099.675,255.382307440072,2.61465827310901E+022,2331,5.80371E+024,664818999,24837,0.103997504843716,196,17,2837
1457049600,2.91817081941166,4694753.33640369,2.50115625E+022,1249.13516219463,4994,16140608598284.3,85,3.39631795907319E+019,982821086059.88,775282274.6925,262.668342621411,2.59192756795907E+022,2477,5.8295953125E+024,684182604,24287,0.047139465281962,279,24,2030
1457136000,3.40188457374127,4708902.99357727,2.57315625E+022,1314.40794083301,5138,16471724529704.7,101,3.38981528103038E+019,1030054717986.05,856527848,284.234358688583,2.66160856528103E+022,3191,5.8561775E+024,823063642,27115,0.081909808952643,368,17,2628
1457222400,3.80394339579734,4499967.55084573,2.45753125E+022,1365.81760749949,4907,17342456505215.9,104,3.76921226263818E+019,1036733655664.82,855249413.20875,269.406155313181,2.54373796226264E+022,2910,5.8815771875E+024,839961704,27661,0.161497449617915,311,26,2129
1457308800,3.48106410367078,3804458.55411858,2.516859375E+022,1217.72662156785,5026,17161043018931.8,106,3.03772576272564E+019,1047340044430.87,740216754.984375,235.979268038741,2.60158460076273E+022,1897,5.90756265625E+024,665621532,23271,0.01204242425562,364,12,1950
1457395200,3.06589047665559,4710742.85150488,2.5119375E+022,1242.1289615308,5017,17491680314135.8,102,3.3347883941224E+019,1060230669040.85,770080557.65875,240.949408041975,2.58564728839412E+022,2425,5.93338578125E+024,724586328,24105,0.000934077613514,315,11,1647
1457481600,3.07232233843106,4711337.33012628,2.498203125E+022,1279.46923231108,4989,17867714576182.5,98,2.60641714329832E+019,1080955371408.63,900543330.946875,275.345261691693,2.5769345421433E+022,2390,5.9591290625E+024,722145124,24557,0.050648666605314,286,13,1619
1457568000,2.81355202550784,4712094.04599692,2.601125E+022,1221.54445727483,5196,18006373470159.2,111,2.03466620473723E+019,1124356306383.2,866532749.864375,263.312950471809,2.66478466620474E+022,2458,5.9857565625E+024,688871222,24814,0.038317896482173,262,13,1642
1457654400,2.71027022749207,4712080.71924975,2.536625E+022,1210.99506416584,5065,18681087236386.8,98,1.9247904795593E+019,1152216595864.64,877748057.578125,256.999998951358,2.63217479047956E+022,1515,6.0120590625E+024,646851762,23124,0.129438344578616,232,34,1364
1457740800,3.3915139549826,4712125.17360143,2.516515625E+022,1384.60222974318,5023,19655031544645.7,103,2.42939252772654E+019,1215700099242.9,1034141561.27344,287.674949636199,2.63944501752773E+022,1948,6.03842921875E+024,802737599,27887,0.121652534097961,265,13,1966
