date,score_twitter,volume_gg,volume_twitter,volume_wiki
1460505600,0.163278974361108,1647,49,9055
1460592000,0.047161373887047,1324,32,8202
1460678400,0.149908173797273,950,31,7162
1460764800,0.153587088629436,973,51,5785
1460851200,0.132174941192557,1004,66,6340
1460937600,0.149157159365569,1030,62,7743
1461024000,0.142491929937298,1082,55,9076
1461110400,0.1207388702975,1197,48,8403
1461196800,0.182746572131699,1365,24,11381
1461283200,0.12749909850857,1683,90,9665
1461369600,0.081011125389115,1844,79,7170
1461456000,0.037488431147014,1932,55,8433
1461542400,0.194357474464403,1872,76,9045
1461628800,0.164700701023829,1981,39,9250
1461715200,0.078612615272309,1926,44,8777
1461801600,0.035262364907141,1265,27,9540
1461888000,0.199306834759157,491,164,7765
1461974400,0.165145815225641,864,70,6176
1462060800,-0.005044501144759,1437,62,6593
1462147200,0.150606952624787,762,55,88391
1462233600,0.125201132077245,635,53,43326
1462320000,0.119833241525456,719,26,20101
1462406400,0.168942770494936,1066,17,25386
1462492800,0.168842793009556,1748,63,17048
1462579200,0.120402681278431,1782,74,11166
1462665600,0.126565614634194,1865,55,11207
1462752000,0.121345797371254,1798,36,13087
1462838400,0.101974601963832,1706,36,12193
1462924800,0.090339444987726,1687,25,10845
1463011200,0.048980186259483,1646,23,11455
1463097600,0.062238842432246,1728,57,9489
1463184000,-0.025716527597687,1784,40,12031
1463270400,0.082793842781672,1833,35,11799
1463356800,0.070541343043417,1864,47,11516
1463443200,0.168964493987875,1868,39,8974
1463529600,0.074596979681418,2021,36,9947
1463616000,0.13635386198464,1750,37,12168
1463702400,0.169605281732566,1611,45,8393
1463788800,0.164602747253596,1645,61,6660
1463875200,0.110596697671586,1704,43,7085
1463961600,0.175497502684472,1695,46,8706
1464048000,0.063828590496344,1702,68,8943
1464134400,0.068888656103552,1820,52,8226
1464220800,0.121977169004392,1863,48,8012
1464307200,0.049952674764859,1727,66,7843
1464393600,0.180723571881846,1788,74,7516
1464480000,0.119046051942765,1932,72,7165
1464566400,0.127756277859021,1835,48,12745
1464652800,0.084480565338163,1639,68,13783
1464739200,0.128163669373799,1510,37,10917
1464825600,0.033758327576499,1867,34,9668
1464912000,0.143692130529056,2127,59,9507
1464998400,0.098848879691783,2018,72,7824
1465084800,0.07827440373662,2179,66,11299
1465171200,0.083956070437878,2098,26,10305
1465257600,0.148775184636872,1990,57,9828
1465344000,0.188549147430593,1985,30,9526
1465430400,0.137284779639314,1742,74,9328
1465516800,0.116987756893733,1293,82,8527
1465603200,0.095464920571247,1748,56,7960
1465689600,0.083195784871116,2011,57,8817
1465776000,0.14206300421756,1654,90,12454
1465862400,0.065128696441215,1566,69,10859
1465948800,0.049172220039188,1953,62,10005
1466035200,0.070123521022655,1695,34,10618
1466121600,0.154319637101542,1147,49,10851
1466208000,0.101523342718637,1081,79,8859
1466294400,0.120050056442114,1197,71,9315
1466380800,0.088486682561465,1235,67,11896
1466467200,0.11800066663524,1187,66,11977
1466553600,0.105022736916792,1274,48,9837
1466640000,0.060130555790325,1706,29,9912
1466726400,0.092988455285143,1866,50,19135
1466812800,0.159211122042898,1692,61,12669
1466899200,0.07815264088434,1771,59,8292
1466985600,0.167778829066803,1652,89,11629
1467072000,0.146032139381304,1619,42,10003
1467158400,0.128943667077994,1617,42,10158
1467244800,0.061596058528828,1586,33,9599
1467331200,0.078617339473444,1907,47,8764
1467417600,0.189046752269668,1947,42,7717
1467504000,0.125008936573667,1891,44,8615
1467590400,0.167792989452793,1918,56,9364
1467676800,0.113152058708847,1884,26,9447
1467763200,0.097883808676676,2044,43,9129
1467849600,0.101614826994041,1985,20,9574
1467936000,0.02459644578765,1556,30,8771
1468022400,0.116450425920922,1289,36,8843
1468108800,0.087236786396637,1200,48,10305
1468195200,0.106679434012041,1141,50,10443
1468281600,0.129741261258719,1105,41,10146
1468368000,0.067324331273521,1037,24,10027
1468454400,0.080804253628108,989,26,9109
1468540800,0.058538736241939,1797,27,8596
1468627200,0.158380014512538,1935,43,7157
1468713600,0.091328390804991,1979,88,8148
1468800000,0.07834855861096,1956,42,8920
1468886400,0.096176811004151,1864,50,8270
1468972800,0.128060916956901,1840,33,8357
1469059200,0.106986108249058,1793,50,8658
1469145600,0.112704055767985,1126,34,9800
1469232000,0.085781102046854,1101,75,6549
1469318400,0.085058059355664,1130,33,7274
1469404800,0.036012492152884,1228,31,9280
1469491200,0.172848118958788,1312,50,10095
1469577600,-0.013354585196268,1184,50,10107
1469664000,0.084680672368835,1136,36,9118
1469750400,0.129476886487291,853,42,8102
1469836800,0.083014709013772,845,57,7619
1469923200,0.098940178018572,923,114,68433
1470009600,0.125388367999384,1080,49,7849
1470096000,0.066649163462643,1911,52,8291
1470182400,0.012180039830622,1323,77,18927
1470268800,0.061212733315882,1044,31,12782
1470355200,0.13342651909373,1771,42,9473
1470441600,0.126691967535704,1965,33,7570
1470528000,0.08879190016368,2096,56,13610
1470614400,0.091595752916392,1981,34,12052
1470700800,0.148163419836336,1836,32,11249
1470787200,0.089199389558354,1781,32,9015
1470873600,0.079074423462608,1778,17,8400
1470960000,0.136925473910256,1738,41,7756
1471046400,0.151819982337974,1782,43,6851
1471132800,0.042828431883113,1924,40,6860
1471219200,0.132121089120461,1975,55,7890
1471305600,-0.017191806125196,1911,39,8422
1471392000,0.065903550999075,1944,23,8694
1471478400,0.101217790920689,1878,21,10122
1471564800,0.171396215757018,1858,28,8392
1471651200,0.098610639773727,1770,37,6836
