timestamp,blocks-size,avg-block-size,n-transactions-per-block,median-confirmation-time,hash-rate,difficulty,miners-revenue,transaction-fees,cost-per-transaction-percent,cost-per-transaction,n-unique-addresses,n-transactions,n-transactions-total,n-transactions-excluding-popular,n-transactions-excluding-chains-longer-than-100,output-volume,estimated-transaction-volume-usd,score_twitter,volume_gg,volume_twitter,volume_wiki
1486252800,101260.546635,0.957944603773585,1837.11320754717,16.675,3336807.82080216,422170566883,2069248.1,136.17869567,1.13563006575796,7.36196400298336,510277,292101,194017769,286914,199580,1800248.44228853,189360700.467203,0.159297800176638,1610,94,12070
1486339200,101382.9468,0.97920132,1840.216,18.2833333333333,2623276.58868094,422170566883,1694793.75,154.93020175,0.803080174765244,7.63420112112654,440409,230027,194247796,225330,151760,1679402.41655712,218667131.435876,0.206545178788852,1573,79,13166
1486425600,101525.744594,0.945680754966888,2154.09271523179,23.875,3168918.11912658,422170566883,2077363.75,170.75671139,0.815710737119883,6.64743742180354,557390,325268,194573064,320854,224817,2038903.52207676,265069291.958752,0.220258924457831,1695,63,13554
1486512000,101666.069387,0.961128719178082,2111.75342465753,13.0333333333333,3063987.05557934,422170566883,2002536.9,157.14493504,0.773743113537303,6.73688578415787,516490,308316,194881380,302557,209157,1959826.10628621,268446935.564006,0.188018594023114,1756,94,13313
1486598400,101827.638511,0.956030319526627,2050.55621301775,16.625,3546669.94789663,422170566883,2148177,174.18568718,0.631039539452702,6.4533756234765,575007,346544,195227924,340140,246187,3197018.8721855,354395954.966886,0.187884197259033,1861,50,13381
1486684800,101970.865804,0.96775197972973,2057.13513513513,10.4333333333333,3105959.48099823,422170566883,1914816,141.11220269,0.671235672109612,6.52224360742681,507435,304456,195532380,299823,198306,2778948.34104064,295832936.515696,0.130674599755986,1791,50,12212
1486771200,102104.814725,0.963661302158274,1889.8273381295,17.1583333333333,2917083.5666132,422170566883,1792077,117.08000976,1.14391337476778,7.07418427239944,474676,262686,195795066,259093,184468,1418142.39805423,162450165.438162,0.034969906398034,1948,50,10009
1486857600,102227.124457,0.867444907801418,1689.23404255319,13.975,2959055.9920321,422170566883,1790373.935,102.74261946,1.59105874414316,7.80446105132899,422084,238182,196033248,235095,166527,956506.55591642,116833030.142373,0.197600895466548,1922,35,10944
1486944000,102375.529789,0.910462159509202,1768.65030674847,9.26666666666667,3420752.67163994,422170566883,2090708.955,136.77242215,1.12283863603147,7.52831173147146,503160,288290,196321538,284458,190031,1591074.64555236,193290194.995132,0.109403394126766,1969,61,12472
1487030400,102525.049711,0.884733266272189,1864.40236686391,12.775,3546669.94789663,422170566883,2198282.4,140.99131586,0.991989430369847,7.24357950484,530239,315084,196636622,311031,207875,1925169.97318271,230076645.459022,0.081978219218695,1967,67,11624
1487116800,102655.721987,0.940088316546763,2120.76258992806,19.275,2917083.5666132,422170566883,1822485.25,134.04888989,0.936457961022481,6.43708798741959,495896,294786,196931408,291325,199797,1750347.68364851,202631991.871541,0.08898018772024,1906,47,12330
1487203200,102803.787327,0.974114078947368,1877.16447368421,11.6333333333333,3189904.33183602,422170566883,2071526.4,170.92843209,0.990005981607165,7.5251327358625,489189,285329,197216737,281408,191928,2996789.97501355,216881376.302926,0.118425111568985,2002,21,12923
1487289600,102950.117682,0.969075198675497,2117.66225165563,12.8666666666667,3168918.11912658,422170566883,2094835.8,165.84442388,0.791229783415246,6.79895385078555,550072,319767,197536504,315601,209538,2501945.95773614,274772401.339594,0.104044591403773,2053,36,14331
1487376000,103096.374718,0.962217342105263,1895.71710526316,10.7666666666667,3330515.74407375,432944392642.632,2102643.2,153.36709614,1.22463916272978,7.55219851010821,510385,288149,197824653,284460,199746,1252864.20270827,177697930.51844,0.110353884159821,1550,67,12842
1487462400,103221.112954,0.930882358208955,1878.51492537313,11.5166666666667,2936112.56385449,440779902286,1835140.5,129.44377921,1.11179604977796,7.57344382365939,458998,251721,198076374,248233,169258,1419255.29316553,171469835.057977,0.11462463239721,1151,44,10644
1487548800,103361.909703,0.951329385135135,1910.32432432432,17.125,3242870.59291391,440779902286,2121402.4,159.91401438,1.13082994073948,7.78577936585332,503952,282728,198359102,278516,182905,1561277.91468099,194658608.624167,0.036600486062853,1165,83,12193
1487635200,103492.96381,0.949667442028986,2022.39130434783,12.2833333333333,3023757.71501432,440779902286,2066770,165.81707207,0.892282565756802,7.65567842430435,487720,279090,198638192,275202,189194,1754148.40967314,239455904.826168,0.187641444509565,1370,92,13870
1487721600,103628.810159,0.977311863309352,2043.3381294964,16.1333333333333,3045669.00280428,440779902286,2084941.35,183.25580355,0.968827963625181,7.62353891692926,489247,284024,198922216,280309,189154,2560354.04829138,223493550.830208,0.128858594299202,1444,70,13371
1487808000,103772.917016,0.96071238,2172.75333333333,11.9833333333333,3286693.16849383,440779902286,2381379,211.65472424,0.749112552971229,7.57414567315793,551454,325913,199248129,322248,220819,3342958.48696884,329524919.718002,0.15556877657718,1456,62,14046
1487894400,103934.214596,0.971672168674699,2112.9578313253,20.875,3637273.77313317,440779902286,2628973.5,230.61490244,0.721000656355095,7.75985925152151,590852,350751,199598880,346494,240873,1957414.54834467,377500126.850084,0.072323324377343,1867,85,15834
1487980800,104095.592105,0.966332389221557,1955.21556886228,10.6333333333333,3659185.06092313,440779902286,2521531.75,191.30417997,1.14855288347317,8.01543116888514,561871,326521,199925401,323031,231099,1233214.15529548,227869925.569404,0.019322616450744,1504,82,17751
1488067200,104259.663757,0.921750853932584,1489.90449438202,11,3900209.22661268,440779902286,2725922.6,161.17260121,1.41261188933558,10.6359831219494,462926,265203,200190604,261607,185121,1128100.26650729,199679377.83796,0.12412775636262,1266,98,16385
1488153600,104395.765252,0.945149270833333,1976.07638888889,12.1666666666667,3155225.44175408,440779902286,2305227.8,195.38746144,0.90241293974726,8.37129395535862,501496,284555,200475159,280623,187473,1881223.05020547,263969347.794838,0.197391179844942,1265,94,15063
1488240000,104543.905057,0.968234019607843,2126.88888888889,12.55,3352427.03186371,440779902286,2451281.25,227.3714723,0.998213044149108,7.8153897645109,542156,325414,200800573,321282,207820,1954778.73833876,254779003.31351,0.116739081427309,1352,74,15679
1488326400,104684.902074,0.979145951388889,2193.63194444444,14.3833333333333,3155225.44175408,440779902286,2416017.4,229.59036693,0.865773229300984,7.89584625294896,531642,315883,201116456,311841,198193,2493836.06705258,288085091.743255,0.235575477362009,1322,87,17507
1488412800,104834.93321,0.955612331210191,2098.26751592357,23.25,3440072.18302354,440779902286,2702443.5,252.22663973,0.641910290936678,8.46418895606952,565741,329428,201445884,325010,222994,2742003.35844942,434381700.806091,0.072445212065573,1478,74,18929
1488499200,104983.712007,0.985290046357616,2233.84105960265,19.95,3458650.32318652,445545600358.477,2670737.95,259.68606189,0.649518049968599,8.21100857143847,583122,337310,201783194,332794,220969,4558368.40204178,426416987.390237,0.083637532692274,2150,61,40347
1488585600,105115.847433,0.986085268656716,2006.52985074627,21.15,3069265.84971518,460769358090,2317878,222.87178018,0.931723487706442,8.94037897452715,489871,268875,202052069,265535,184531,1997534.74539412,257999763.71674,0.18354623425592,1323,86,25835
1488672000,105260.392726,0.98330131292517,1909.78911564626,12.1166666666667,3367030.44707561,460769358090,2524232.85,216.69618574,1.18837067813691,9.32125754175297,524842,280739,202332808,277612,201958,1232770.74083629,220204063.358142,0.096467766201559,622,88,17862
1488758400,105397.49835,0.965532563380282,2026.27464788732,13.8833333333333,3252505.60193699,460769358090,2484820.8,238.98093612,0.880394613733995,8.94679555747759,537228,287731,202620539,283724,178085,1915378.95980437,292399611.763911,0.121691591269239,617,77,20274
1488844800,105546.652201,0.97486177124183,2143.15032679739,14.0333333333333,3504460.26124196,460769358090,2609873.4,269.77191295,0.810266490044327,8.23388332703594,571328,327902,202948441,323888,214874,2099918.9417359,333212201.649119,0.188496416539602,663,130,17149
1488931200,105685.730847,0.979427084507042,2092.30985915493,13.7666666666667,3252505.60193699,460769358090,2250201.3,233.7307623,0.771297783585289,7.83796320777088,526232,297108,203245549,293288,200261,2522734.84456735,301922502.863887,0.12405627796536,666,46,15721
