date,score_twitter,volume_twitter,volume_google
1518519600,0,0,3
1518523200,0.4019,1,4
1518526800,0,0,3
1518530400,-0.085710792860489,2,4
1518534000,0.6249,1,4
1518537600,0.128432557229571,2,3
1518541200,0.045192952534164,5,3
1518544800,0.362924443761844,6,3
1518548400,-0.07245,2,3
1518552000,0.012,2,3
1518555600,0.4404,1,3
1518559200,0.01325,2,3
1518562800,-0.182533333333333,3,3
1518566400,0.7046,2,3
1518570000,0,0,3
1518573600,-0.1648,4,3
1518577200,-0.142572320288194,2,3
1518580800,0.357526080162452,4,3
1518584400,0,0,4
1518588000,0.241423727601777,1,4
1518591600,0,0,3
1518595200,-0.4703,1,3
1518598800,0.048438666261381,2,3
1518602400,0.4019,1,3
1518606000,0.153795536917422,3,3
1518609600,0.2253,3,3
1518613200,0,0,3
1518616800,0.1216875,5,3
1518620400,0.090406566913421,1,3
1518624000,0.6281,1,3
1518627600,0.277864962890646,1,3
1518631200,0.122052153469766,3,3
1518634800,0.350049604578421,3,3
1518638400,0.38045,2,3
1518642000,0.180151100246789,4,3
1518645600,0,0,3
1518649200,0.318133333333333,3,3
1518652800,0.15835,4,3
1518656400,0.32555,2,3
1518660000,-0.1779,1,3
1518663600,-0.13602,5,3
1518667200,0,0,3
1518670800,0.59115,2,3
1518674400,0.434533333333333,3,3
1518678000,-0.3612,1,3
1518681600,-0.4824,1,3
1518685200,0.7506,1,3
1518688800,0,0,3
1518692400,0.4404,1,8
1518696000,0,0,8
1518699600,-0.069555470981027,3,8
1518703200,0.180745833333333,7,8
1518706800,0.231645971779192,2,8
1518710400,0.541049524118364,4,9
1518714000,0.31,2,8
1518717600,0.33055,2,7
1518721200,-0.021366666666667,3,7
1518724800,0.085333333333333,5,6
1518728400,-0.086387295943112,4,6
1518732000,0.2315,3,6
1518735600,-0.2133,3,6
1518739200,0,0,6
1518742800,0.5106,1,7
1518746400,-0.166666666666667,3,6
1518750000,-0.14885,2,7
1518753600,0,0,7
1518757200,0,0,7
1518760800,0.3722,1,7
1518764400,0,0,7
1518768000,0,0,7
1518771600,0.6434,2,7
1518775200,-0.5423,1,6
1518778800,0,0,6
1518782400,0,0,7
1518786000,0,0,7
1518789600,0,0,7
1518793200,0.481024074207012,2,7
1518796800,0.39857910587839,2,7
1518800400,-0.069471672646964,3,7
1518804000,-0.0516,1,7
1518807600,0.8555,1,6
1518811200,0.129803284381293,3,6
1518814800,0.0258,1,6
1518818400,0,0,6
1518822000,0,0,6
1518825600,0.6908,1,6
1518829200,0,0,6
1518832800,0.6718,2,6
1518836400,0,0,6
1518840000,0.4019,1,7
1518843600,0.13730968140632,1,7
1518847200,-0.2755,1,7
1518850800,0,0,8
1518854400,0,0,7
1518858000,0.543633333333333,3,7
1518861600,0,0,7
1518865200,-0.0246,2,7
1518868800,-0.34,1,7
1518872400,0.028952945835862,1,7
1518876000,0.296154985230728,7,7
1518879600,0.8074,1,8
1518883200,-0.034334170330737,3,7
1518886800,0.2568,3,7
1518890400,0.304810289825977,3,7
1518894000,0.415916829851329,3,7
1518897600,-0.000343193559567,6,7
1518901200,0.7783,1,7
1518904800,-0.024224233452298,3,7
1518908400,0.37095,2,7
1518912000,0.0644,1,7
1518915600,0.4989,2,7
1518919200,0.9501,1,7
1518922800,-0.461028572106316,2,7
1518926400,0.126370814286311,1,8
1518930000,0,0,9
1518933600,0,0,9
1518937200,0.183827757090086,1,9
1518940800,0,0,8
1518944400,0.516101793748603,2,8
1518948000,-0.0005,1,7
1518951600,0.4854,2,7
1518955200,0,0,7
1518958800,0,0,7
1518962400,0,0,8
1518966000,0,0,8
1518969600,0.171452740807965,3,7
1518973200,0,0,7
1518976800,0.280461556119459,3,7
1518980400,0,0,7
1518984000,0.279470485298353,2,8
1518987600,0.1501555687596,1,7
1518991200,0,0,7
1518994800,0.2732,1,7
1518998400,0,0,7
1519002000,0.1444,2,7
1519005600,0,0,7
1519009200,0,0,7
1519012800,-0.5423,1,7
1519016400,0.239207235430568,2,8
1519020000,0,0,9
1519023600,0,0,9
1519027200,0,0,8
1519030800,0.5693,2,8
